etiquetas,Area,Eccentricity,Solidity,Extent,Perimeter,MajorAxisLength,MinorAxisLength,Circularity,Elongation,roundnessCH,convexity,circleVariance,ellipVariance,Mean_Green,Mean_Red,Mean_Blue,Std_Green,Std_Red,Std_Blue,Skewness_G,Skewness_R,Skewness_B,Kurtosis_G,Kurtosis_R,Kurtosis_B,Entropy_G,Entropy_R,Entropy_B
Esferocito,23337,0.27126991687218,0.991586998087954,0.770910412262156,541.998,175.825197345126,169.232335379577,0.998296439761129,0.0374966845770554,0.997626332206352,1.00033579459703,0.0231813823488322,0.046599370303352,42740.1431203668,46185.3893816686,45941.5335304452,1385.9973269878,1636.28643253013,1859.19506081777,1.12315488350249,0.441912423419614,0.8800846816559,5.42891632390085,3.78487806213976,3.94111570280179,4.34454042994477,4.69298417669734,4.78248226049446
Esferocito,29982,0.640831152603963,0.994328922495274,0.764788409050328,620.852,223.292741993649,171.4177868698,0.977449423668453,0.232318142814176,0.975161169624984,1.0011725821935,0.0947771180762054,0.032415031915679,38553.7888066173,44375.5325195117,43002.8763925022,2351.57396780056,2583.07847221921,2388.47149221159,1.01762146438161,0.788872759423591,0.731592589711276,4.19472393809394,3.94621480471515,3.37677292647637,5.09906740591263,5.29105369986273,5.17624899368319
Esferocito,39250,0.386903821526526,0.99153719843375,0.786415547986375,705.514,232.897843543346,214.759776977017,0.990919221407736,0.0778799249077321,0.990430623931474,1.00024662869908,0.032386745003452,0.0779502825415905,38690.1682547771,42993.8670063694,41884.5301401274,3125.64816546099,3586.35121004665,3205.48665666818,-0.171964756946661,-1.50742515045171,0.400177346507783,3.20960136830419,8.92270556341889,2.42414802228324,5.60518096691111,5.68817687531416,5.61161807824938
Esferocito,32832,0.286943814674339,0.995331352695083,0.789230769230769,640.098,208.935115705144,200.148853699655,1.00696473799565,0.0420525864014568,1.00467814558859,1.00113732584698,0.0184153443496827,0.0360670459071874,39105.6500974659,44628.6520467836,41976.0555555556,3180.48869257636,2637.00583908062,3579.57971104129,0.837756694742227,0.384375145620556,0.672708783453765,3.13552231550159,2.97187028114841,2.66368139199513,5.51482015931671,5.381514603835,5.69532925563394
Esferocito,32835,0.320773319762763,0.992383715658718,0.766742947879694,643.853,210.220578414549,199.111680947244,0.995344537651576,0.0528440058108822,0.99677760418578,0.999280891756348,0.0263412555509165,0.0479210452296258,37219.9051012639,45507.4572864322,41892.985411908,3323.45822619086,2428.09189606494,3413.22160918781,0.685093792659333,0.208573921076554,0.442072301784722,2.72305222978925,3.19190153270062,2.31987766850937,5.59249142602332,5.27625719354236,5.66759578734834
Esferocito,34133,0.524619918913847,0.994870150689323,0.793643043154762,655.968,226.016229365438,192.415879515617,0.996825219989052,0.148663438657291,0.994616324188993,1.00110981023465,0.0602397694681771,0.0695075961343631,41850.4940087306,45577.8672838602,45090.9470600299,2436.06901136135,2556.10788794787,2406.99604093807,0.354641676098336,0.196627114034959,0.399609477914046,2.25657048514508,2.54938621849114,2.52227655170848,5.20274174418108,5.33909641001847,5.21409613144277
Esferocito,31695,0.400656015763984,0.994758646663737,0.773048780487805,629.992,209.930017572826,192.343875739359,1.00353044128177,0.0837714493467636,1.00121515546269,1.00115557022946,0.0324989137561434,0.0731583537381266,38814.7945101751,43481.9351948257,42228.0526265973,2271.06699772471,2563.33317758932,2689.67554174345,1.21533179382084,0.106516623264002,1.11947290439511,5.39695867887946,4.10077387015037,4.21687444897534,5.0074444308449,5.3379311776192,5.24053084237609
Esferocito,23864,0.489573040703351,0.98428541967416,0.763696876600102,555.345,186.90850724475,162.977170279964,0.972360643121689,0.128037708489367,0.97908733257722,0.996558895821516,0.0553860538061384,0.0478623374256733,40243.461615823,45319.0130740865,44908.97418706,2045.20412177184,2035.68451999381,2218.01840506994,0.865645183418577,0.524933826281864,0.584808752278513,3.74307752110626,3.86429694083306,2.96581428002369,4.93019876010296,4.99776347638844,5.08474074749955
Esferocito,30148,0.453766580367241,0.977244732576985,0.72443291041907,629.872,208.146497713614,185.483628052756,0.954912910029067,0.108879418629656,0.969988771791768,0.992198414916046,0.0567469545989924,0.0338059273179223,36781.9190659414,44745.8325593738,41491.3010481624,3463.07651259925,2600.71831165595,3391.11073925609,0.513370332607211,0.304850334799773,0.323574100786341,2.30515537030338,2.82843853899649,2.21493381046194,5.64616961596269,5.36605799973982,5.67862484917569
Esferocito,30892,0.512840768303496,0.994591113972956,0.774235588972431,624.592,214.128983457876,183.826252372341,0.995091589330985,0.14151625154236,0.992775958975834,1.00116556087814,0.0552187047997666,0.0458991455196214,39364.0538650783,45662.8973196944,42699.1904700246,2545.99598167643,2123.72597024846,3062.74397418857,1.45693630266742,0.54748447942822,0.970147480292396,5.40013664922416,3.79101640841305,3.350288161277,5.07855633916691,5.05675737281859,5.40546136613091
Esferocito,31462,0.567154734752768,0.989869116536622,0.74575708732341,635.318,220.722553095224,181.789579964507,0.97952126915766,0.176388740456083,0.980082718715809,0.999713529287695,0.0705693309310146,0.0399624642195525,36745.7117792893,40005.4831860657,40797.4974254656,3133.88751341032,3377.03289414423,3354.43991405485,0.259754749837648,0.113943853768219,0.359838137661576,2.13067939724993,2.36993020849708,2.36511580477162,5.55937670507151,5.72623349493674,5.68162712847364
Esferocito,33582,0.323129787079833,0.994609643407179,0.787644244300591,647.516,212.604786710633,201.199530439501,1.00650378606234,0.0536453409520607,1.00424437968677,1.00112429654248,0.0218218739326542,0.0399746479266437,35919.506878685,39959.9008992913,41052.5586326008,4277.03864539719,4019.33160621017,4161.31476607509,0.53015454026614,0.0226123213059017,0.540659468357418,2.62256504849556,3.19028817153544,2.39099696146578,6.01035144388507,5.98807147219977,5.92238016596875
Esferocito,33873,0.222736736525319,0.995269436445907,0.802145495879511,650.418,210.401354948751,205.115784983228,1.00618635349301,0.025121368476029,1.00449917155346,1.00083946016254,0.0157660670178087,0.0543397642322055,38459.2046762909,44274.4297818321,42751.8398724648,2510.9496725049,2762.06025371629,2676.08439003641,1.62255012711625,0.851171289881061,1.36237932881215,5.81755926424366,3.64665436772865,4.8931854528097,4.97896634627862,5.36338391422676,5.14263135969103
Esferocito,24652,0.55164141517403,0.994433239209359,0.779263474000316,557.892,194.080068394397,161.878571346943,0.995317764530644,0.165918619639071,0.992725235853887,1.00130491206183,0.0651239140580104,0.0539119635517359,38072.1895180918,43377.1773486938,43172.3744929418,3176.09203581342,2888.95388604645,3051.9792028568,1.09021022628895,0.6584027239096,0.581888716122571,4.93407724539423,3.96049474800018,2.93614889582681,5.53911536894337,5.48668955923855,5.54283719993146
Esferocito,31259,0.222716039437599,0.992948127441949,0.781650871446075,626.766,202.129874774408,197.053051494321,0.999940331984607,0.0251166399116097,1.00033610778324,0.999802159019474,0.0165708940436304,0.0305853625365334,40652.7640679484,45511.753031127,43600.9935058703,2797.25297479001,2561.03976469552,3088.57190421423,0.353858382618064,0.0736189946530467,0.30137229612561,2.3905008509276,2.64475432148504,2.28866904630388,5.42567332132805,5.35550313660629,5.56552476381975
Esferocito,35041,0.339889087723179,0.993817181428855,0.787508989572096,665.488,217.972081507146,204.995228572112,0.994273577014071,0.0595344726962582,0.992101801839333,1.00109393407545,0.0297424934385675,0.0425871480997549,33951.8260323621,36729.6106846266,39860.241888074,4825.66970873172,4493.50897951702,4592.19621003316,0.497400360098579,0.248720053750277,0.405696505105075,2.38058052135004,2.39067648004832,2.20730959256895,6.12107361354258,6.11683713857816,6.07524472389288
Esferocito,33255,0.454834865014241,0.994616419919246,0.772904755264259,646.972,218.134759179511,194.265536442091,0.998379937602115,0.109424205602085,0.996696940002476,1.00084393142207,0.0421227192652734,0.0454266213880196,40028.0499173057,46341.8505487897,43042.5923319802,2552.88418796972,2452.39725744638,2906.84057928404,0.954751588173076,0.492628409217958,0.883212405285342,3.5974098865573,3.17795987958436,3.26815412644271,5.19663695437711,5.26223496702078,5.37842444266645
Esferocito,27057,0.112860154242183,0.976223120219368,0.753467000835422,596.754,186.573698833743,185.38165752714,0.954770140031416,0.00638911761976435,0.963832200694774,0.995287840550713,0.0315080907864797,0.0514785777602653,38401.7172635547,41708.7008907122,42219.3094578113,2819.06215275436,2682.07809956238,3033.63075603114,0.270238281260814,0.03690557608223,0.359944954920873,2.3263184773341,2.59834950661339,2.43097962852728,5.44230913812935,5.41842784398442,5.5474874884872
Esferocito,37516,0.251919690530406,0.991280452359562,0.778695670222923,689.042,222.231818664704,215.064429971013,0.992967425569928,0.0322518563577275,0.991395630296998,1.00079240452686,0.0165651947942695,0.0454495969620713,38495.16878132,43359.2191065146,41076.6064612432,3216.37980600314,3288.83788940717,3199.48838277257,0.377924658680587,-0.297835653568084,0.410086447731486,2.56153075690943,4.07570631064556,2.53496601601331,5.62207035837154,5.6832951935292,5.6252112887155
Esferocito,36893,0.322437187861456,0.990203446239734,0.772854868443104,685.612,222.902329620186,210.997308320743,0.986272707515879,0.0534091380728442,0.988370546375979,0.998938174944429,0.0262295314021017,0.0403928111640334,37427.8572086846,43357.8558534139,40763.4306779064,3941.2817247357,3671.29860823363,3932.64261641496,0.510216237793171,0.180172007631713,0.413771057665295,2.49004513446268,2.85972048449543,2.35686736738764,5.8714117729259,5.86024931198621,5.89262713878294
Esferocito,36725,0.384624504948362,0.994664427712475,0.766749483266175,679.374,225.327825964624,207.994059986122,0.999893681797013,0.0769268771146961,0.997754199760197,1.00107157471437,0.0377231589804948,0.0405177636466556,37106.9429543907,41585.0983253914,40966.4640435671,3094.16026299159,2813.26334968968,3155.07800066458,1.89452528042051,1.27569506086473,1.00387296076752,8.05745390292384,6.2767989049429,3.57388451298757,5.27329203699619,5.34353699939764,5.46513276026252
Esferocito,29194,0.238145051851146,0.993905968065911,0.775693484961207,604.776,195.731947862788,190.100661265009,1.00303103591145,0.0287704008429238,1.00062058898157,1.00120375147162,0.0189307761111319,0.0751429787810011,38578.3517161061,42052.657943413,42263.339042269,2646.9181176251,2762.11843953982,3005.91398325632,0.725716788309885,0.44839073286127,0.693021140883808,3.33400787789985,3.32456181938586,2.98872558209842,5.31751649638955,5.44246250240327,5.48595399360155
